company_id,company_name,success_label,status,country,state_code,city,region,latitude,longitude,founded_at,closed_at,age_years,primary_industry,is_software,is_web,is_mobile,is_enterprise,is_biotech_or_health,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,age_at_first_funding_years,age_at_last_funding_years,has_VC,has_angel,avg_participants,num_founders,employee_count
Company1,Company1,1,operating,United States,,,North America,,,,,,,0,0,0,0,0,450000.0,,,2013-05-26,,0.9633333333333334,0,1,,1,3.0
Company2,Company2,1,operating,United States,,,North America,,,2011-07-01,,3.0,Market Research|Marketing|Crowdfunding,0,0,0,0,0,,,,,0.8333333333333334,0.75,0,1,,2,
Company3,Company3,1,operating,United States,,,North America,,,2011-12-01,,3.0,Analytics|Cloud Computing|Software Development,1,0,0,0,0,2350000.0,,,2013-10-23,0.16666666666666666,0.612037037,0,1,,3,14.0
Company4,Company4,1,operating,United States,,,North America,,,2009-06-20,,5.0,Mobile|Analytics,0,0,1,0,0,10250000.0,,,2012-05-10,0.08333333333333333,0.725,0,1,,2,45.0
Company5,Company5,1,operating,United States,,,North America,,,2010-04-01,,4.0,Analytics|Marketing|Enterprise Software,1,0,0,0,0,5500000.0,,,2013-12-11,1.0833333333333333,0.8185185185,0,1,,1,39.0
Company6,Company6,1,operating,United States,,,North America,,,2010-05-01,,4.0,Food & Beverages|Hospitality,0,0,0,0,0,1000000.0,,,2013-09-17,1.0,0.7768518518333334,0,1,,4,14.0
Company7,Company7,1,operating,United States,,,North America,,,2011-01-01,,3.0,Analytics,0,0,0,0,0,2000000.0,,,2013-09-03,0.9166666666666666,0.60925925925,0,1,,2,7.0
Company8,Company8,1,operating,United States,,,North America,,,2010-01-01,,4.0,Cloud Computing|Network / Hosting / Infrastructure,0,0,0,0,0,6700000.0,,,2012-11-08,1.6666666666666667,0.5333333333333333,0,0,,3,29.0
Company9,Company9,1,operating,United States,,,North America,,,2011-01-01,,3.0,Analytics|Mobile|Marketing,0,0,1,0,0,11000000.0,,,2014-02-26,1.5,1.0,0,1,,2,16.0
Company10,Company10,1,operating,United States,,,North America,,,2013-05-16,,1.0,Healthcare|Pharmaceuticals|Analytics,0,0,0,0,1,3000000.0,,,2013-10-24,0.4166666666666667,0.4166666666666667,0,0,,3,3.0
Company11,Company11,1,operating,United States,,,North America,,,2011-01-01,,3.0,Analytics|Enterprise Software,1,0,0,0,0,16000000.0,,,2013-08-13,2.0,0.22222222225,0,0,,2,34.0
Company12,Company12,1,operating,United States,,,North America,,,2010-01-01,,4.0,,0,0,0,0,0,6300000.0,,,2012-06-27,1.5,0.32083333333333336,1,0,,0,31.0
Company13,Company13,1,operating,United States,,,North America,,,2010-01-01,,4.0,Media|Finance|Marketing,0,0,0,0,1,11500000.0,,,2013-09-10,1.0,0.5,0,0,,0,47.0
Company14,Company14,1,operating,United States,,,North America,,,2008-06-20,,6.0,Music|Analytics,0,0,0,0,0,6500000.0,,,2012-01-03,1.1666666666666667,0.6111111110833333,0,0,,3,22.0
Company15,Company15,1,operating,United States,,,North America,,,2010-01-01,,4.0,E-Commerce|Gaming|Analytics,0,0,0,0,0,2800000.0,,,2013-11-11,4.0,4.0,1,0,,2,13.0
Company16,Company16,1,operating,United States,,,North America,,,2008-01-01,,6.0,Healthcare|Analytics,0,0,0,0,1,41000000.0,,,2014-01-27,3.1666666666666665,0.6666666666666666,0,0,,2,129.0
Company17,Company17,1,operating,United States,,,North America,,,2010-01-01,,4.0,Analytics,0,0,0,0,0,3499999.0,,,2012-12-14,0.25,0.9222222225,1,0,,1,23.0
Company18,Company18,1,operating,United States,,,North America,,,2009-06-01,,5.0,Marketing,0,0,0,0,0,10000000.0,,,2013-10-17,2.5,1.0513888891666667,0,0,,3,52.0
