company_id,company_name,success_label,status,country,state_code,city,region,latitude,longitude,founded_at,closed_at,age_years,primary_industry,is_software,is_web,is_mobile,is_enterprise,is_biotech_or_health,funding_total_usd,funding_rounds,first_funding_at,last_funding_at,age_at_first_funding_years,age_at_last_funding_years,has_VC,has_angel,avg_participants,num_founders,employee_count
c:6669,Bandsintown,1,acquired,USA,CA,San Diego,US-West,42.35888,-71.05682,2007-01-01,,3.0006844626967832,music,0,0,0,0,0,375000,3,2009-04-01,2010-01-01,2.2493,3.0027,0,1,1.0,3,
c:16283,TriCipher,1,acquired,USA,CA,Los Gatos,US-West,37.238916,-121.973718,2000-01-01,,9.990417522245037,enterprise,0,0,0,1,0,40100000,4,2005-02-14,2009-12-28,5.126,9.9973,1,0,4.75,9,
c:65620,Plixi,1,acquired,USA,CA,San Diego,US-West,32.901049,-117.192656,2009-03-18,,1.0321697467488022,web,0,1,0,0,0,2600000,1,2010-03-30,2010-03-30,1.0329,1.0329,0,0,4.0,5,
c:42668,Solidcore Systems,1,acquired,USA,CA,Cupertino,US-West,37.320309,-122.05004,2002-01-01,,5.3114305270362765,software,1,0,0,0,0,40000000,3,2005-02-17,2007-04-25,3.1315,5.3151,0,0,3.3333,5,
c:65806,Inhale Digital,0,closed,USA,CA,San Francisco,US-West,37.779281,-122.419236,2010-08-01,2012-10-01,2.1683778234086244,games_video,0,0,0,0,0,1300000,2,2010-08-01,2012-04-01,0.0,1.6685,1,1,1.0,2,
c:22898,Matisse Networks,0,closed,USA,CA,Mountain View,US-West,37.406914,-122.09037,2002-01-01,2009-02-15,7.123887748117728,network_hosting,0,0,0,0,0,7500000,1,2006-07-18,2006-07-18,4.5452,4.5452,0,0,3.0,3,
c:16191,RingCube Technologies,1,acquired,USA,CA,Mountain View,US-West,37.3915589,-122.0702643,2005-01-01,,5.207392197125257,software,1,0,0,0,0,26000000,3,2006-09-21,2010-03-18,1.7205,5.211,1,0,1.6667,6,
c:5192,ClairMail,1,acquired,USA,CA,San Rafael,US-West,38.057107,-122.513742,2004-01-01,,6.757015742642026,finance,0,0,0,0,0,34100000,3,2005-08-24,2010-10-04,1.6466,6.7616,0,0,3.5,25,
c:1043,VoodooVox,1,acquired,USA,MA,Williamstown,US-Northeast,42.712207,-73.203599,2002-01-01,,11.104722792607802,mobile,0,0,1,0,0,9650000,3,2005-08-02,2013-02-08,3.5863,11.1123,1,0,4.0,13,
c:498,Doostang,1,acquired,USA,CA,Palo Alto,US-West,37.427235,-122.145783,2005-06-01,,4.681724845995893,web,0,1,0,0,0,5750000,3,2007-02-01,2010-02-05,1.6712,4.6849,1,1,1.0,14,
c:3949,Zong,1,acquired,USA,CA,Menlo Park,US-West,37.4429885,-122.1624131,2000-11-15,,9.442847364818617,mobile,0,0,1,0,0,27500000,3,2005-07-01,2010-04-26,4.6274,9.4493,0,0,1.0,22,
c:4829,Center'd,0,closed,USA,CA,Menlo Park,US-West,37.452992,-122.185098,2006-01-01,2011-12-02,5.916495550992471,web,0,1,0,0,0,10400000,5,2007-02-01,2011-05-03,1.0849,5.3370000000000015,1,1,1.75,8,
c:30290,Resonant Vibes,0,closed,USA,KY,Louisville,US-South,38.241467,-85.72451099999998,2004-01-01,2012-04-27,8.320328542094456,web,0,1,0,0,0,350000,1,2008-11-25,2008-11-25,4.9041,4.9041,1,0,1.0,0,
c:1491,drop.io,1,acquired,USA,NY,Brooklyn,US-Northeast,40.70276,-73.98666800000002,2007-11-26,,2.433949349760438,education,0,0,0,0,0,9950000,3,2007-12-03,2010-05-03,0.0192,2.4356,0,0,2.3333,15,
c:15645,Stratavia,1,acquired,USA,CO,Denver,US-West,39.74627279999999,-104.9911572,2001-01-01,,8.991101984941821,software,1,0,0,0,0,10700000,5,2005-08-31,2009-12-29,4.6658,8.9973,0,0,2.5,12,
c:54177,Invicta Networks,0,closed,USA,VA,Vienna,US-South,38.901301,-77.265158,1999-01-01,2010-03-28,11.236139630390143,public_relations,0,0,0,0,0,200000,1,2005-08-09,2005-08-09,6.6082,6.6082,1,0,1.0,0,
c:16770,QSecure,0,closed,USA,CA,Los Altos,US-West,37.39628270000001,-122.105531,2003-01-01,2012-09-22,9.724845995893224,security,0,0,0,0,0,49000000,5,2005-08-02,2009-10-05,2.5863,6.7644,1,0,3.5,8,
c:107,MeeVee,1,acquired,USA,CA,Burlingame,US-West,37.590339,-122.341715,2000-07-01,,7.167693360711842,games_video,0,0,0,0,0,25000000,4,2005-02-01,2007-09-01,4.5918,7.1726,0,0,3.5,7,
c:50727,SinglePlatform,1,acquired,USA,NY,New York,US-Northeast,40.730646,-73.986614,2010-01-01,,1.5797399041752225,web,0,1,0,0,0,4575000,3,2010-09-29,2011-08-01,0.7425,1.5808,0,1,5.0,10,
c:26368,Bling Nation,0,closed,USA,CA,Palo Alto,US-West,37.446411,-122.16054,2007-01-01,2011-09-10,4.689938398357289,enterprise,0,0,0,1,0,28000000,2,2009-07-02,2009-10-30,2.5014,2.8301,0,0,1.0,13,
c:22291,Metreos Corporation,1,acquired,USA,TX,Austin,US-South,30.2350399,-97.80012990000002,2001-01-01,,3.783709787816564,software,1,0,0,0,0,4355000,2,2003-03-20,2004-10-14,2.2137,3.7863,0,1,1.5,8,
c:17857,Hidden City Games,0,closed,USA,WA,Seattle,US-West,47.6026054,-122.2848651,2004-01-01,2011-09-28,7.73990417522245,other,0,0,0,0,0,15000000,1,2007-10-31,2007-10-31,3.8329,3.8329,0,0,2.0,3,
c:15888,Neopolitan Networks,0,closed,USA,CA,Palo Alto,US-West,37.426316,-122.141082,2002-01-01,2008-07-25,6.562628336755647,web,0,1,0,0,0,3170000,1,2007-06-28,2007-06-28,5.4904,5.4904,0,0,2.0,1,
c:10751,Pixelpipe,0,closed,USA,CA,San Francisco,US-West,37.764395,-122.401024,2008-01-01,2013-08-02,5.585215605749487,mobile,0,0,1,0,0,2300000,2,2007-01-01,2011-04-25,-1.0,3.3151,0,1,2.0,4,
c:458,EventVue,0,closed,USA,CO,Boulder,US-West,40.010492,-105.276843,2007-05-01,2010-02-01,2.757015742642026,public_relations,0,0,0,0,0,455000,2,2007-08-01,2007-09-01,0.2521,0.337,0,1,4.5,5,
