id,status,founded_at,closed_at,acquired_at,ipo_at,age,city,country,region,primary_industry,is_software,is_web,is_mobile,is_b2b,regulated,funding_total_usd,funding_stage,num_rounds,age_first_funding,age_last_funding,lead_investor_tier,has_vc_backing,num_founders,repeat_founder,accelerator,avg_investor_participation,revenue_bucket,growth_indicator
c:6669,acquired,2007-01-01,,,,18.013698630136986,San Diego,USA,US-West,,1,1,0,,0,,roundA,0,,,Other,0,,,,1.0,,
c:16283,acquired,2000-01-01,,,,25.019178082191782,Los Gatos,USA,US-West,,1,1,0,,0,,roundB,3,,,Top,1,,,,4.75,,
c:65620,acquired,2009-03-18,,,,15.802739726027397,San Diego,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,4.0,,
c:42668,acquired,2002-01-01,,,,23.016438356164382,Cupertino,USA,US-West,,1,1,0,,0,,roundB,3,,,Top,0,,,,3.3333,,
c:65806,closed,2010-08-01,2012-10-01,,,2.16986301369863,San Francisco,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,1.0,,
c:22898,closed,2002-01-01,2009-02-15,,,7.1287671232876715,Mountain View,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,0,,,,3.0,,
c:16191,acquired,2005-01-01,,,,20.013698630136986,Mountain View,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,1,,,,1.6667,,
c:5192,acquired,2004-01-01,,,,21.016438356164382,San Rafael,USA,US-West,,1,1,0,,0,,roundA,3,,,Top,0,,,,3.5,,
c:1043,acquired,2002-01-01,,,,23.016438356164382,Williamstown,USA,US-East,,1,1,0,,0,,roundA,2,,,Top,1,,,,4.0,,
c:498,acquired,2005-06-01,,,,19.6,Palo Alto,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,1,,,,1.0,,
c:3949,acquired,2000-11-15,,,,24.145205479452056,Menlo Park,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,1.0,,
c:4829,closed,2006-01-01,2011-12-02,,,5.920547945205479,Menlo Park,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,1,,,,1.75,,
c:30290,closed,2004-01-01,2012-04-27,,,8.326027397260274,Louisville,USA,Other,,1,1,0,,0,,roundA,0,,,Other,1,,,,1.0,,
c:1491,acquired,2007-11-26,,,,17.112328767123287,Brooklyn,USA,US-East,,1,1,0,,0,,roundA,3,,,Top,0,,,,2.3333,,
c:15645,acquired,2001-01-01,,,,24.016438356164382,Denver,USA,Other,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.5,,
c:54177,closed,1999-01-01,2010-03-28,,,11.243835616438357,Vienna,USA,Other,,1,1,0,,0,,roundA,0,,,Other,1,,,,1.0,,
c:16770,closed,2003-01-01,2012-09-22,,,9.73150684931507,Los Altos,USA,US-West,,1,1,0,,0,,roundA,4,,,Top,1,,,,3.5,,
c:107,acquired,2000-07-01,,,,24.52054794520548,Burlingame,USA,US-West,,1,1,0,,0,,roundA,4,,,Top,0,,,,3.5,,
c:50727,acquired,2010-01-01,,,,15.01095890410959,New York,USA,US-East,,1,1,0,,0,,roundA,1,,,Top,0,,,,5.0,,
c:26368,closed,2007-01-01,2011-09-10,,,4.693150684931507,Palo Alto,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,1.0,,
c:22291,acquired,2001-01-01,,,,24.016438356164382,Austin,USA,US-South,,1,1,0,,0,,roundA,1,,,Other,0,,,,1.5,,
c:17857,closed,2004-01-01,2011-09-28,,,7.745205479452054,Seattle,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,0,,,,2.0,,
c:15888,closed,2002-01-01,2008-07-25,,,6.567123287671233,Palo Alto,USA,US-West,,1,1,0,,0,,roundA,1,,,Other,0,,,,2.0,,
c:10751,closed,2008-01-01,2013-08-02,,,5.589041095890411,San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Other,0,,,,2.0,,
c:458,closed,2007-05-01,2010-02-01,,,2.758904109589041,Boulder,USA,Other,,1,1,0,,0,,roundA,1,,,Top,0,,,,4.5,,
c:45525,acquired,2002-01-01,,,,23.016438356164382,Chicago,USA,Other,,1,1,0,,0,,roundC,1,,,Top,0,,,,4.0,,
c:3193,acquired,2003-01-01,,,,22.016438356164382,Palo Alto,USA,US-West,,1,1,0,,0,,roundC,1,,,Top,0,,,,4.0,,
c:28456,acquired,2008-06-01,,,,16.5972602739726,Berkeley,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,0,,,,2.0,,
c:36920,acquired,2007-05-01,,,,17.684931506849313,Austin,USA,US-South,,1,1,0,,0,,roundA,2,,,Top,1,,,,1.75,,
c:35712,acquired,2005-05-24,,,,19.621917808219177,Santa Ana,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,2.0,,
c:21492,closed,2007-01-01,2012-11-14,,,5.873972602739726,Moffett Field,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.0,,
c:28768,acquired,2001-01-01,,,,24.016438356164382,Seattle,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,1,,,,1.5,,
c:27741,closed,2006-10-01,2012-02-17,,,5.383561643835616,Durham,USA,Other,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.5,,
c:150658,acquired,2011-01-01,,,,14.01095890410959,San Francisco,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,5.0,,
c:34338,closed,2009-06-01,2012-05-27,,,2.989041095890411,Pittsburgh,USA,Other,,1,1,0,,0,,roundA,0,,,Other,0,,,,1.0,,
c:45111,closed,2004-07-01,2008-10-01,,,4.254794520547946,New York,USA,US-East,,1,1,0,,0,,roundB,1,,,Top,0,,,,1.0,,
c:3178,closed,2007-01-01,2011-01-28,,,4.076712328767123,San Francisco,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.0,,
c:35402,closed,2005-01-01,2013-06-01,,,8.419178082191781,San Jose,USA,US-West,,1,1,0,,0,,roundB,2,,,Top,0,,,,4.5,,
c:22856,acquired,2008-10-01,,,,16.263013698630136,San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,2.3333,,
c:1224,acquired,2006-03-01,,,,18.852054794520548,New York,USA,US-East,,1,1,0,,0,,roundA,3,,,Top,1,,,,2.75,,
c:1234,acquired,2006-05-01,,,,18.684931506849313,Atlanta,USA,US-South,,1,1,0,,0,,roundA,3,,,Top,0,,,,3.0,,
c:149809,acquired,2011-08-01,,,,13.43013698630137,Manchester,USA,Other,,1,1,0,,0,,roundA,0,,,Other,0,,,,1.0,,
c:13733,closed,2008-01-01,2011-02-15,,,3.126027397260274,Menlo Park,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,1,,,,1.0,,
c:39106,acquired,2004-05-11,,,,20.65753424657534,Seattle,USA,US-West,,1,1,0,,0,,roundC,1,,,Top,0,,,,2.0,,
c:5306,acquired,2002-01-01,,,,23.016438356164382,Sunnyvale,USA,US-West,,1,1,0,,0,,roundC,1,,,Top,0,,,,3.0,,
c:16303,acquired,2003-01-01,,,,22.016438356164382,Sunnyvale,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,0,,,,5.0,,
c:43188,acquired,2009-12-01,,,,15.095890410958905,New York,USA,US-East,,1,1,0,,0,,roundA,1,,,Top,0,,,,2.0,,
c:33507,acquired,2009-10-17,,,,15.219178082191782,Cambridge,USA,US-East,,1,1,0,,0,,roundA,1,,,Top,0,,,,1.0,,
c:68157,acquired,2010-05-24,,,,14.61917808219178,San Francisco,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,0,,,,9.5,,
c:2395,acquired,2002-10-01,,,,22.268493150684932,San Mateo,USA,US-West,,1,1,0,,0,,roundD,1,,,Top,0,,,,2.0,,
c:38220,acquired,2006-01-01,,,,19.013698630136986,South San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,1.0,,
c:49815,acquired,2009-01-01,,,,16.01095890410959,Boston,USA,US-East,,1,1,0,,0,,roundA,0,,,Top,0,,,,1.0,,
c:249,acquired,2004-11-01,,,,20.18082191780822,Austin,USA,US-South,,1,1,0,,0,,roundA,1,,,Top,0,,,,3.0,,
c:22027,acquired,2000-01-01,,,,25.019178082191782,Waltham,USA,US-East,,1,1,0,,0,,roundD,1,,,Top,1,,,,5.0,,
c:109,acquired,2006-05-01,,,,18.684931506849313,San Francisco,USA,US-West,,1,1,0,,0,,roundA,4,,,Top,1,,,,5.0,,
c:43948,closed,2004-01-01,2009-01-01,,,5.005479452054795,Palo Alto,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,1,,,,2.0,,
c:765,acquired,2006-01-01,,,,19.013698630136986,Palo Alto,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,1,,,,2.0,,
c:19257,acquired,2005-02-01,,,,19.92876712328767,Aliso Viejo,USA,US-West,,1,1,0,,0,,roundC,1,,,Top,0,,,,2.0,,
c:25827,acquired,2007-07-01,,,,17.517808219178082,Sunnyvale,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,3.3333,,
c:5932,acquired,2000-07-01,,,,24.52054794520548,Kansas City,USA,Other,,1,1,0,,0,,roundA,2,,,Top,0,,,,4.5,,
c:35157,closed,1999-12-01,2011-11-11,,,11.953424657534246,Wilmington,USA,US-East,,1,1,0,,0,,roundB,1,,,Top,0,,,,2.0,,
c:8596,closed,2005-01-01,2011-07-28,,,6.572602739726028,San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,1.0,,
c:19861,acquired,2001-01-01,,,,24.016438356164382,Kirkland,USA,US-West,,1,1,0,,0,,roundC,1,,,Top,1,,,,3.0,,
c:45114,closed,2001-01-01,2012-10-01,,,11.756164383561643,Tampa,USA,US-South,,1,1,0,,0,,roundA,0,,,Other,1,,,,3.0,,
c:23533,acquired,2008-12-01,,,,16.095890410958905,Boston,USA,US-East,,1,1,0,,0,,roundA,1,,,Top,0,,,,3.0,,
c:25325,acquired,2006-01-01,,,,19.013698630136986,Alameda,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,0,,,,1.0,,
